geometry,amenity,bus,check_date,name,public_transport,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,phone,website,attribution,jurisdiction,source_url,office,source:url,location,operator,operator:type,region,type,ele,gnis:feature_id,grades,massgis:school_id,drinking_water,access,fee,layer,parking,brand,brand:wikidata,cash_in,indoor,operator:wikidata,cuisine,opening_hours,toilets,toilets:access,wikidata,bicycle_parking,capacity,check_date:capacity,covered,fountain,lit,created_by,atm,drive_through,compressed_air,fuel:diesel,fuel:octane_87,fuel:octane_89,fuel:octane_93,payment:cash,payment:credit_cards,payment:debit_cards,self_service,air_conditioning,source,opening_hours:office,short_name,start_date,was:gnis:feature_id,old_name,wikipedia,contact:facebook,contact:instagram,contact:linkedin,contact:youtube,denomination,email,religion,operator:short,operator:website,operator:wikipedia,collection_times,ref,alt_name,contact:email,contact:phone,level,name:etymology,name:etymology:wikidata,name:etymology:wikipedia,full_name,check_date:opening_hours,opening_hours:signed,not:name,building,healthcare,check_date:collection_times,colour,material,recycling:cans,recycling:glass_bottles,recycling:paper,recycling:plastic,recycling:plastic_bottles,recycling:plastic_packaging,recycling_type,backrest,internet_access,outdoor_seating,brand:website,dispensing,diet:vegan,diet:vegetarian,smoking,toilets:female,toilets:male,toilets:unisex,toilets:wheelchair,branch,delivery,takeaway,fax,maxheight,contact:website,indoor_seating,reservation,disused,cost:coffee,official_name,addr:country,addr:place,recycling:beverage_cartons,drink:beer,instagram,live_music,min_age,bottle,direction,currency:USD,height,support,contact:twitter,facebook,twitter,url,surface,payment:visa,addr:unit,sport,drive_in,seats,entrance,exit,oneway,bench,bin,highway,network,network:wikidata,network:wikipedia,shelter,shelter_type,tactile_paving,note,website:menu,bicycle_rental,charge,generator:method,generator:output:electricity,generator:source,generator:type,payment:mobile_app,supervised,payment:apple_pay,payment:mastercard,payment:snap,payment:wic,self_checkout,amenity_1,contact:tty,healthcare:speciality,urgent_care,internet_access:fee,name:en,designation,fixme:atp,canoe_rental,kayak_rental,studio,contact:yelp,other,source:website,payment:app,rental,bar,name:ja,service:bicycle:chain_tool,service:bicycle:pump,service:bicycle:tools,service:bicycle:stand,check_date:service:bicycle:pump,recycling:glass,brand:en,brand:zh,name:zh,toilets:disposal,toilets:menstrual_products,unisex,shop,food,ref:signed,waste,changing_table,internet_access:ssid,toilets:charge,toilets:description,toilets:fee,toilets:handwashing,toilets:paper_supplied,social_facility,social_facility:for,source:opening_hours,public_bookcase:type,isced:level,length,width,payment:american_express,payment:discover_card,ele:msl,ele:source,toilets:gender_segregated,toilets:hands_drying,toilets:handwashing:soap,toilets:level,toilets:position,currency:others,opening_hours:covid19,parcel_mail_in,parcel_pickup,addr:floor,not:brand:wikidata,school,lgbtq,brand:short,opening_hours:kitchen,nursery,preschool,diet:kosher,mapillary,theme,display,date,faces,visibility,seasonal,contact:tiktok,diet:gluten_free,diet:meat,authentication:app,bicycle,frequency,hgv,maxstay,motorcar,network:website,payment:app:tesla,ref:supercharge_info,scooter,socket:nacs,socket:nacs:output,armrest,socket:device:USB-A,brewery,artwork_type,tourism,survey:date,brand:ja,craft,communication:mobile,lockable,man_made,manufacturer,monitoring:trash,recycling:waste,dog,service:bicycle:bike,service:bicycle:diy,service:bicycle:repair,service:bicycle:screwdriver,service:bicycle:service,service:bicycle:wrench,boat,door,window,inscription,max_age,foot,vehicle,check_date:recycling,recycling:clothes,socket:type1_cable,diet:non-vegetarian,diet:pescetarian,research,service:bicycle:chaintool,service:bicycle:cleaning,service:bicycle:parts,fuel,locked,microbrewery,image,device_charging,vending,diet:halal,parking_space,fixme,service:bicycle:Bicycle_Sales_and_Service,service:bicycle:rental,service:bicycle:retail,service:bicycle:sales,service:bicycle:second_hand,service:bicycle:spare_parts,service_times,payment:care_credit,payment:cheque,recycling:shoes,recycling:textiles,payment:account_cards,payment:coins,payment:contactless,toilets:num_chambers,trash,portable,street_vendor,level:ref,female,gender_segregated,male,shower,addr:suburb,polling_station,toilets:fee:conditional,recycling:green_waste,website:orders,post:city,post:housenumber,post:postcode,post:state,post:street,payment:venmo,subject,subject:wikidata,architect,building:levels,roof:colour,year_of_construction,roof:levels,roof:shape,source_ref,addr:housename,name:tr,architect:wikidata,architect:wikipedia,ref:isil,building:architecture,heritage,heritage:operator,heritage:website,historic,nrhp:criteria,nrhp:inscription_date,ref:nrhp,opening_hours:drive_through,comment,building:use,baby_hatch,name:el,massgis:ARTICLE97,massgis:ASSESS_ACR,massgis:ATT_DATE,massgis:DCAM_ID,massgis:DEED_ACRES,massgis:EOEAINVOLV,massgis:FEESYM,massgis:FEE_OWNER,massgis:FY_FUNDING,massgis:GRANTPROG1,massgis:GRANTTYPE1,massgis:LEV_PROT,massgis:MANAGER,massgis:MANAGR_ABR,massgis:MANAGR_TYP,massgis:OS_DEED_BO,massgis:OS_DEED_PA,massgis:OS_ID,massgis:OWNER_ABRV,massgis:OWNER_TYPE,massgis:POLY_ID,massgis:PRIM_PURP,massgis:PROJ_ID1,massgis:PUB_ACCESS,massgis:SITE_NAME,massgis:TOWN_ID,owner,ownership,protected,social_centre:for,capacity:disabled,massgis:SOURCE_MAP,community_centre:for,contact:housenumber,contact:street,source:service_times,wheelchair:description,park_ride,name:signed,check_date:fee,building:part,emergency,emergency_room,building:material,not:operator:wikidata,beds,leisure,weather_protection,fee:conditional,area,landuse,private,wall,theatre,smoothness,orientation,parking:orientation,contact:pobox,theatre:type,disused:amenity,capacity:charging,elevator,bench:type,name:et,name:he,name:uk,name:vi,short_name:zh,aerospace:product,faculty,owner:wikidata,name:ar,name:az,name:ba,name:be,name:bg,name:bn,name:br,name:ca,name:cs,name:cv,name:cy,name:da,name:eo,name:es,name:eu,name:fa,name:fi,name:fr,name:ga,name:gd,name:gl,name:hi,name:hr,name:hu,name:hy,name:id,name:is,name:it,name:jv,name:ka,name:kk,name:kn,name:ko,name:ku,name:la,name:lb,name:lt,name:lv,name:mk,name:mr,name:ms,name:my,name:nl,name:oc,name:pt,name:qu,name:ro,name:ru,name:sa,name:sl,name:sq,name:sr,name:sw,name:ta,name:te,name:th,name:tt,name:ug,name:ur,name:yi,name:yo
"POLYGON ((-71.1219813 42.3775326, -71.1211737 42.3777702, -71.1211644 42.3777529, -71.121972 42.3775153, -71.1219813 42.3775326))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1194942 42.3849852, -71.1194433 42.3854834, -71.1194706 42.385485, -71.1195216 42.3849867, -71.1194942 42.3849852))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.120024 42.3838138, -71.1197021 42.3837955, -71.119719 42.383633, -71.1200409 42.3836513, -71.120024 42.3838138))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1191982 42.3857556, -71.1192277 42.3854701, -71.1192013 42.3854686, -71.1191718 42.3857541, -71.1191982 42.3857556))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1193601 42.3864983, -71.1193869 42.3862699, -71.1193562 42.386268, -71.1193294 42.3864963, -71.1193601 42.3864983))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1194091 42.3860743, -71.1194533 42.3856667, -71.1194238 42.3856649, -71.1193796 42.3860726, -71.1194091 42.3860743))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1202003 42.3861382, -71.1199944 42.386155, -71.1200012 42.3862002, -71.1197316 42.3862222, -71.1197172 42.3861267, -71.119765 42.3861228, -71.1197919 42.3858232, -71.1200126 42.385834, -71.1199979 42.3859982, -71.120212 42.3860087, -71.1202003 42.3861382))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1312155 42.3823923, -71.1315246 42.3821486, -71.1315066 42.3821361, -71.1311975 42.3823798, -71.1312155 42.3823923))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1314455 42.3820034, -71.1310669 42.3823041, -71.1310576 42.3823115, -71.1310766 42.3823245, -71.1314645 42.3820165, -71.1314455 42.3820034))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1318029 42.3824027, -71.1319497 42.3824767, -71.131914 42.3825154, -71.1317671 42.3824413, -71.1318029 42.3824027))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1307474 42.3830272, -71.1306603 42.3829891, -71.1308654 42.3828103, -71.1309164 42.3828316, -71.1307474 42.3830272))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1330883 42.3831189, -71.1329307 42.3830406, -71.132971 42.3829985, -71.1331145 42.3830743, -71.1330883 42.3831189))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1318297 42.3810173, -71.1315072 42.381068, -71.1314589 42.3809434, -71.1315442 42.3809328, -71.1315664 42.3809146, -71.131598 42.3808622, -71.1315701 42.3807312, -71.1315413 42.3806256, -71.1315417 42.3805676, -71.1315816 42.3805205, -71.1316708 42.3804784, -71.1316895 42.3805863, -71.1317848 42.380881, -71.1318297 42.3810173))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1279599 42.3819123, -71.1278111 42.3818677, -71.1276086 42.3818667, -71.1274181 42.3818747, -71.1275817 42.3819831, -71.1275683 42.3820391, -71.1276615 42.382046, -71.1276703 42.381995, -71.1278171 42.381993, -71.1278835 42.3819732, -71.1279599 42.3819123))",parking,,,,,,,,,,,,,,,,,,,,Harvard University,,,,,,,,,permit,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1382305 42.381492, -71.1383153 42.3814873, -71.1383125 42.3814599, -71.1384221 42.3814538, -71.1384269 42.3815018, -71.1385298 42.3814961, -71.1385366 42.3815628, -71.1382393 42.3815793, -71.1382305 42.381492))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1002286 42.3585518, -71.1003533 42.3584443, -71.1002984 42.3584095, -71.1004131 42.3583106, -71.1002589 42.3582129, -71.1001825 42.3582787, -71.1002161 42.3583, -71.100053 42.3584406, -71.1002286 42.3585518))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-71.1021276 42.358975, -71.1018685 42.3591024, -71.1018437 42.3591146, -71.1014101 42.3593278, -71.1017601 42.359528, -71.1017974 42.3594924, -71.1018887 42.3595446, -71.102257 42.359193, -71.1025327 42.3593506, -71.1024778 42.359403, -71.1026597 42.359507, -71.1027305 42.3594394, -71.1027907 42.359382, -71.1025415 42.3592395, -71.1025646 42.3592175, -71.1021276 42.358975))",parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
